file,peak_linear_acc_mps2,peak_rotational_acc_rads2
Rugby1123.xlsx,10.9973,1303.5749
Rugby1124.xlsx,10.2083,406.9145
Rugby1125.xlsx,20.2517,2183.5878
Rugby1126.xlsx,14.5254,1606.0990
Rugby1127.xlsx,20.2133,1343.1350
Rugby1128.xlsx,13.0684,1655.5844
Rugby1129.xlsx,15.4876,878.6799
Rugby113.xlsx,11.5054,1116.4882
Rugby1130.xlsx,32.1437,3054.3942
Rugby1131.xlsx,28.0750,3003.3911
Rugby1132.xlsx,13.4552,3701.3531
Rugby1133.xlsx,13.9112,1257.9527
Rugby1134.xlsx,34.5144,3627.5923
Rugby1135.xlsx,32.9326,2850.1849
Rugby1136.xlsx,26.8963,3119.2964
Rugby1137.xlsx,7.5404,261.7114
Rugby1138.xlsx,13.8376,1409.1206
Rugby1139.xlsx,110.4586,12650.0308
Rugby114.xlsx,18.9793,849.6609
Rugby1140.xlsx,18.8012,2319.0382
Rugby1141.xlsx,21.3191,2591.1480
Rugby1142.xlsx,16.7967,1635.1661
Rugby1143.xlsx,12.6253,1304.8406
Rugby1144.xlsx,17.3115,1583.5186
Rugby1145.xlsx,9.1781,617.4316
Rugby1146.xlsx,12.5296,954.7504
Rugby1147.xlsx,3.8163,266.4660
Rugby1148.xlsx,13.3808,1407.3759
Rugby1149.xlsx,13.8363,858.8213
Rugby115.xlsx,4.0083,131.0839
Rugby1150.xlsx,10.8669,650.6760
Rugby1151.xlsx,23.8817,1061.8891
Rugby1152.xlsx,23.2558,2400.2732
Rugby1153.xlsx,8.0607,833.0878
Rugby1154.xlsx,32.0789,3353.7896
Rugby1155.xlsx,113.6904,2659.0760
Rugby1156.xlsx,30.1109,3095.6704
Rugby1157.xlsx,12.9647,692.2550
Rugby1158.xlsx,14.2266,930.4587
Rugby1159.xlsx,27.3663,3051.8381
Rugby116.xlsx,17.5994,1024.6591
Rugby1160.xlsx,19.3935,1341.1963
Rugby1161.xlsx,3.6616,369.7180
Rugby1162.xlsx,6.9685,1400.9286
Rugby1163.xlsx,8.8508,1008.0359
Rugby1164.xlsx,14.5587,1688.3238
